"year.group","mean","percent_05","percent_95","scenario","species"
2012,0.0240895282,0.015653922,0.032416171,"baseline","X1"
2013,0.02793768632,0.0180906415,0.037961072,"baseline","X1"
2014,0.0283546758,0.018235895,0.0388089715,"baseline","X1"
2015,0.02836761884,0.018059034,0.039479259,"baseline","X1"
2016,0.02812847868,0.0177688285,0.0391863775,"baseline","X1"
2017,0.02760834452,0.0173622195,0.0382941805,"baseline","X1"
2018,0.02719215004,0.017131474,0.0373226525,"baseline","X1"
2019,0.027097806,0.017103779,0.0369851565,"baseline","X1"
2020,0.02719356656,0.0171844745,0.0370871305,"baseline","X1"
2021,0.02728636536,0.0172526515,0.0372474445,"baseline","X1"
2022,0.02731493696,0.0172686865,0.037319087,"baseline","X1"
2023,0.02730733904,0.017254109,0.0373350285,"baseline","X1"
2024,0.0272967824,0.0172364285,0.0373256975,"baseline","X1"
2025,0.02729490016,0.0172273995,0.037322019,"baseline","X1"
2026,0.02729941152,0.0172264905,0.0373210435,"baseline","X1"
2027,0.02730483608,0.0172292235,0.0373218075,"baseline","X1"
2028,0.02730776584,0.017232059,0.037323369,"baseline","X1"
2029,0.02730768444,0.0172336225,0.0373252225,"baseline","X1"
2030,0.02730572844,0.0172340205,0.0373269685,"baseline","X1"
2031,0.02730329308,0.017233814,0.0373281765,"baseline","X1"
2032,0.0273013178,0.0172334505,0.0373286635,"baseline","X1"
2033,0.02730017544,0.017233119,0.0373284945,"baseline","X1"
2034,0.02729983108,0.0172328605,0.037327972,"baseline","X1"
2035,0.02730003156,0.017232686,0.0373273195,"baseline","X1"
2036,0.02730048084,0.0172325705,0.0373267475,"baseline","X1"
2037,0.02730094304,0.01723253,0.0373262975,"baseline","X1"
2038,0.0273012852,0.017232535,0.037325991,"baseline","X1"
2039,0.02730147288,0.0172325845,0.037325801,"baseline","X1"
2040,0.02730153316,0.017232653,0.037325705,"baseline","X1"
2041,0.02730151844,0.017232735,0.037325684,"baseline","X1"
2042,0.02730147888,0.017232797,0.0373257165,"baseline","X1"
2043,0.02730144524,0.017232838,0.037325796,"baseline","X1"
2044,0.02730142888,0.0172328645,0.0373258755,"baseline","X1"
2045,0.02730142824,0.01723286,0.0373259525,"baseline","X1"
2046,0.02730143552,0.0172328455,0.0373260095,"baseline","X1"
2047,0.02730144196,0.01723284,0.037326042,"baseline","X1"
2048,0.02730144224,0.01723282,0.0373260665,"baseline","X1"
2049,0.02730143656,0.0172328145,0.0373260855,"baseline","X1"
2050,0.02730142712,0.017232809,0.037326091,"baseline","X1"
2051,0.0273014172,0.0172328035,0.037326091,"baseline","X1"
2052,0.02730141028,0.0172328035,0.0373260885,"baseline","X1"
2053,0.0273014064,0.0172328035,0.0373260795,"baseline","X1"
2054,0.02730140784,0.0172328035,0.037326075,"baseline","X1"
2055,0.02730141212,0.0172328035,0.037326066,"baseline","X1"
2056,0.02730141664,0.017232809,0.037326066,"baseline","X1"
2057,0.02730142132,0.017232809,0.037326066,"baseline","X1"
2058,0.0273014248,0.017232809,0.0373260615,"baseline","X1"
2059,0.02730142672,0.017232809,0.0373260615,"baseline","X1"
2060,0.02730142704,0.017232809,0.0373260615,"baseline","X1"
2061,0.02730142652,0.017232809,0.0373260615,"baseline","X1"
2062,0.02730142588,0.017232809,0.0373260615,"baseline","X1"
2063,0.02730142516,0.017232809,0.0373260615,"baseline","X1"
2064,0.02730142424,0.017232809,0.0373260615,"baseline","X1"
2065,0.02730142364,0.017232809,0.0373260615,"baseline","X1"
2066,0.0273014232,0.017232809,0.0373260615,"baseline","X1"
2067,0.02730142296,0.017232809,0.0373260615,"baseline","X1"
2068,0.02730142276,0.017232809,0.0373260615,"baseline","X1"
2069,0.027301423,0.017232809,0.0373260615,"baseline","X1"
2070,0.0273014232,0.017232809,0.0373260615,"baseline","X1"
2071,0.02730142352,0.017232809,0.0373260615,"baseline","X1"
2072,0.02730142376,0.017232809,0.0373260615,"baseline","X1"
2073,0.0273014238,0.017232809,0.0373260615,"baseline","X1"
2074,0.02730142388,0.017232809,0.0373260615,"baseline","X1"
2075,0.02730142396,0.017232809,0.0373260615,"baseline","X1"
